phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,rr_boot_ci_lower,rr_boot_ci_upper,or_boot_ci_lower,or_boot_ci_upper,experiment,cluster
1,2,I→II,17541,18544,1934679,2118134,0.9459124245038827,0.9133883880812074,1.035608112438346,1.0320243222059797,1.0392043476801498,1.6583418116218245,1.5558263347081513,1.767612170344854,6.520688251991559e-63,1.0308752911812464,1.0403332719023002,1.5298772377908745,1.8076264326781097,Combined GE × Combined CT,gene
2,3,II→III,12979,16603,1184685,1785165,0.7817261940613143,0.6636277318903294,1.17795890149826,1.168449894999435,1.1875452936042743,1.8153012256003336,1.7494424228713648,1.8836393222118495,1.0259684750813332e-242,1.1612049632541868,1.1941554478648033,1.705652386989336,1.9311791326684513,Combined GE × Combined CT,gene
3,4,III→Approved,8576,12221,623052,1076226,0.7017429015628835,0.5789230143111205,1.2121523660583964,1.1980884626518158,1.2263813602618552,1.7113070138819373,1.6459463560668453,1.7792631485023793,4.666434156162501e-171,1.1870166537454123,1.2368922656515928,1.5986132756702862,1.8306644935470764,Combined GE × Combined CT,gene
1,4,I→Approved,8576,16848,623052,1860161,0.5090218423551757,0.3349452009799152,1.519716780135921,1.4971398583484732,1.5426341626989966,2.058533403255561,1.9969799321516704,2.121984154218872,0.0,1.472626147841565,1.5677109502833446,1.9350339461390147,2.1904602554787878,Combined GE × Combined CT,gene
1,2,I→II,17541,18544,1934679,2118134,0.9459124245038827,0.9133883880812074,1.035608112438346,1.0320243222059797,1.0392043476801498,1.6583418116218245,1.5558263347081513,1.767612170344854,6.520688251991559e-63,1.028044196719999,1.0426601587778692,1.4683150397677986,1.8754038286198003,Combined GE × Combined CT,efo_id
2,3,II→III,12979,16603,1184685,1785165,0.7817261940613143,0.6636277318903294,1.17795890149826,1.168449894999435,1.1875452936042743,1.8153012256003336,1.7494424228713648,1.8836393222118495,1.0259684750813332e-242,1.152743238935167,1.2016409223778501,1.6558035828115756,1.9821759209498417,Combined GE × Combined CT,efo_id
3,4,III→Approved,8576,12221,623052,1076226,0.7017429015628835,0.5789230143111205,1.2121523660583964,1.1980884626518158,1.2263813602618552,1.7113070138819373,1.6459463560668453,1.7792631485023793,4.666434156162501e-171,1.1703622886497775,1.2515582916583545,1.531595024466556,1.9047793307516256,Combined GE × Combined CT,efo_id
1,4,I→Approved,8576,16848,623052,1860161,0.5090218423551757,0.3349452009799152,1.519716780135921,1.4971398583484732,1.5426341626989966,2.058533403255561,1.9969799321516704,2.121984154218872,0.0,1.4443287193587733,1.5935885414190938,1.8642567739845952,2.2635011253771413,Combined GE × Combined CT,efo_id
