phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,unknown_status
1,2,I→II,17541,18544,1934679,2118134,0.9459124245038827,0.9133883880812074,1.035608112438346,1.0320243222059797,1.0392043476801498,1.6583418116218245,1.5558263347081513,1.767612170344854,6.520688251991559e-63,Unknown as concluded (default)
2,3,II→III,12979,16603,1184685,1785165,0.7817261940613143,0.6636277318903294,1.17795890149826,1.168449894999435,1.1875452936042743,1.8153012256003336,1.7494424228713648,1.8836393222118495,1.0259684750813332e-242,Unknown as concluded (default)
3,4,III→Approved,8576,12221,623052,1076226,0.7017429015628835,0.5789230143111205,1.2121523660583964,1.1980884626518158,1.2263813602618552,1.7113070138819373,1.6459463560668453,1.7792631485023793,4.666434156162501e-171,Unknown as concluded (default)
1,4,I→Approved,8576,16848,623052,1860161,0.5090218423551757,0.3349452009799152,1.519716780135921,1.4971398583484732,1.5426341626989966,2.058533403255561,1.9969799321516704,2.121984154218872,0.0,Unknown as concluded (default)
1,2,I→II,17541,18470,1934679,2109252,0.9497022198159177,0.9172346405265943,1.0353972449957662,1.0319410979065862,1.038864967312182,1.7037536222516714,1.5946704454511198,1.820298616316626,1.7534162611225025e-65,Unknown as still running
2,3,II→III,12979,16357,1184685,1737025,0.7934829125145197,0.6820195449115586,1.1634313392256452,1.1542950918873889,1.1726398999749283,1.7913695724434227,1.7245889303608841,1.8607361375122713,2.0960739540559987e-220,Unknown as still running
3,4,III→Approved,8576,11855,623052,1020752,0.7234078447912273,0.6103852845745098,1.185165932195603,1.1719213971251579,1.1985601511182777,1.6694547502832797,1.6032909508892341,1.7383489638593723,1.968393452763221e-145,Unknown as still running
1,4,I→Approved,8576,16162,623052,1747665,0.530627397599307,0.35650539434044853,1.4884133761313547,1.4667875171218094,1.5103580800809078,2.040566436202868,1.978186836011615,2.1049130975681134,0.0,Unknown as still running
