leg,source,records,drugs,efo_ids,undetermined,phase_1,phase_2,phase_3,phase_4
drug-indication,TrialPanorama,270725,34013,3570,51873,52219,107131,60728,50647
drug-indication,Open Targets,36845,3683,2611,7438,7973,15133,9154,4585
